event_id,user_id,event_name,ts,session_id,insert_id,properties,release
evt_000001,u_0131,signup_started,2026-06-01T08:07:00Z,u_0131_s01,ins_u_0131_001,{},v2.2.0-healthy
evt_000002,u_0131,signup_completed,2026-06-01T08:12:00Z,u_0131_s01,ins_u_0131_002,{},v2.2.0-healthy
evt_000003,u_0131,profile_saved,2026-06-01T08:14:00Z,u_0131_s01,ins_u_0131_003,{},v2.2.0-healthy
evt_000004,u_0131,onboarding_step_viewed,2026-06-01T08:18:00Z,u_0131_s01,ins_u_0131_004,{},v2.2.0-healthy
evt_000005,u_0772,signup_started,2026-06-01T08:19:00Z,u_0772_s01,ins_u_0772_001,{},v2.2.0-healthy
evt_000006,u_0147,signup_started,2026-06-01T08:23:00Z,u_0147_s01,ins_u_0147_001,{},v2.2.0-healthy
evt_000007,u_0772,signup_completed,2026-06-01T08:23:00Z,u_0772_s01,ins_u_0772_002,{},v2.2.0-healthy
evt_000008,u_0380,signup_started,2026-06-01T08:24:00Z,u_0380_s01,ins_u_0380_001,{},v2.2.0-healthy
evt_000009,u_0380,signup_completed,2026-06-01T08:27:00Z,u_0380_s01,ins_u_0380_002,{},v2.2.0-healthy
evt_000010,u_0147,signup_completed,2026-06-01T08:31:00Z,u_0147_s01,ins_u_0147_002,{},v2.2.0-healthy
evt_000011,u_0380,session_abandoned,2026-06-01T08:31:00Z,u_0380_s01,ins_u_0380_003,{},v2.2.0-healthy
evt_000012,u_0772,session_abandoned,2026-06-01T08:32:00Z,u_0772_s01,ins_u_0772_003,{},v2.2.0-healthy
evt_000013,u_0147,profile_saved,2026-06-01T08:39:00Z,u_0147_s01,ins_u_0147_003,{},v2.2.0-healthy
evt_000014,u_0131,onboarding_completed,2026-06-01T08:45:00Z,u_0131_s01,ins_u_0131_005,"{""completed_at"": ""2026-06-01T08:45:00Z""}",v2.2.0-healthy
evt_000015,u_0147,onboarding_step_viewed,2026-06-01T08:45:00Z,u_0147_s01,ins_u_0147_004,{},v2.2.0-healthy
evt_000016,u_0147,feature_used,2026-06-01T08:59:00Z,u_0147_s01,ins_u_0147_005,"{""feature"": ""insights""}",v2.2.0-healthy
evt_000017,u_0015,signup_started,2026-06-01T09:02:00Z,u_0015_s01,ins_u_0015_001,{},v2.2.0-healthy
evt_000018,u_0131,activation_completed,2026-06-01T09:04:00Z,u_0131_s01,ins_u_0131_006,{},v2.2.0-healthy
evt_000019,u_0015,signup_completed,2026-06-01T09:07:00Z,u_0015_s01,ins_u_0015_002,{},v2.2.0-healthy
evt_000020,u_0015,profile_saved,2026-06-01T09:14:00Z,u_0015_s01,ins_u_0015_003,{},v2.2.0-healthy
evt_000021,u_0252,signup_started,2026-06-01T09:19:00Z,u_0252_s01,ins_u_0252_001,{},v2.2.0-healthy
evt_000022,u_0709,signup_started,2026-06-01T09:19:00Z,u_0709_s01,ins_u_0709_001,{},v2.2.0-healthy
evt_000023,u_0147,onboarding_completed,2026-06-01T09:24:00Z,u_0147_s01,ins_u_0147_006,"{""completed_at"": ""2026-06-01T09:11:00Z""}",v2.2.0-healthy
evt_000024,u_0161,signup_started,2026-06-01T09:24:00Z,u_0161_s01,ins_u_0161_001,{},v2.2.0-healthy
evt_000025,u_0252,session_abandoned,2026-06-01T09:25:00Z,u_0252_s01,ins_u_0252_002,{},v2.2.0-healthy
evt_000026,u_0709,signup_completed,2026-06-01T09:25:00Z,u_0709_s01,ins_u_0709_002,{},v2.2.0-healthy
evt_000027,u_0680,signup_started,2026-06-01T09:27:00Z,u_0680_s01,ins_u_0680_001,{},v2.2.0-healthy
evt_000028,u_0686,signup_started,2026-06-01T09:28:00Z,u_0686_s01,ins_u_0686_001,{},v2.2.0-healthy
evt_000029,u_0161,signup_completed,2026-06-01T09:29:00Z,u_0161_s01,ins_u_0161_002,{},v2.2.0-healthy
evt_000030,u_0428,signup_started,2026-06-01T09:29:00Z,u_0428_s01,ins_u_0428_001,{},v2.2.0-healthy
evt_000031,u_0686,session_abandoned,2026-06-01T09:33:00Z,u_0686_s01,ins_u_0686_002,{},v2.2.0-healthy
evt_000032,u_0428,signup_completed,2026-06-01T09:34:00Z,u_0428_s01,ins_u_0428_002,{},v2.2.0-healthy
evt_000033,u_0680,signup_completed,2026-06-01T09:34:00Z,u_0680_s01,ins_u_0680_002,{},v2.2.0-healthy
evt_000034,u_0709,profile_saved,2026-06-01T09:35:00Z,u_0709_s01,ins_u_0709_003,{},v2.2.0-healthy
evt_000035,u_0676,signup_started,2026-06-01T09:36:00Z,u_0676_s01,ins_u_0676_001,{},v2.2.0-healthy
evt_000036,u_0161,profile_saved,2026-06-01T09:37:00Z,u_0161_s01,ins_u_0161_003,{},v2.2.0-healthy
evt_000037,u_0428,profile_saved,2026-06-01T09:37:00Z,u_0428_s01,ins_u_0428_003,{},v2.2.0-healthy
evt_000038,u_0709,onboarding_step_viewed,2026-06-01T09:38:00Z,u_0709_s01,ins_u_0709_004,{},v2.2.0-healthy
evt_000039,u_0676,signup_completed,2026-06-01T09:40:00Z,u_0676_s01,ins_u_0676_002,{},v2.2.0-healthy
evt_000040,u_0015,onboarding_completed,2026-06-01T09:41:00Z,u_0015_s01,ins_u_0015_004,"{""completed_at"": ""2026-06-01T09:46:00Z""}",v2.2.0-healthy
evt_000041,u_0428,onboarding_step_viewed,2026-06-01T09:43:00Z,u_0428_s01,ins_u_0428_004,{},v2.2.0-healthy
evt_000042,u_0680,profile_saved,2026-06-01T09:43:00Z,u_0680_s01,ins_u_0680_003,{},v2.2.0-healthy
evt_000043,u_0676,session_abandoned,2026-06-01T09:45:00Z,u_0676_s01,ins_u_0676_003,{},v2.2.0-healthy
evt_000044,u_0680,onboarding_step_viewed,2026-06-01T09:45:00Z,u_0680_s01,ins_u_0680_004,{},v2.2.0-healthy
evt_000045,u_0383,signup_started,2026-06-01T09:47:00Z,u_0383_s01,ins_u_0383_001,{},v2.2.0-healthy
evt_000046,u_0634,signup_started,2026-06-01T09:51:00Z,u_0634_s01,ins_u_0634_001,{},v2.2.0-healthy
evt_000047,u_0383,signup_completed,2026-06-01T09:53:00Z,u_0383_s01,ins_u_0383_002,{},v2.2.0-healthy
evt_000048,u_0634,signup_completed,2026-06-01T09:55:00Z,u_0634_s01,ins_u_0634_002,{},v2.2.0-healthy
evt_000049,u_0147,activation_completed,2026-06-01T09:59:00Z,u_0147_s01,ins_u_0147_007,{},v2.2.0-healthy
evt_000050,u_0383,profile_saved,2026-06-01T09:59:00Z,u_0383_s01,ins_u_0383_003,{},v2.2.0-healthy
evt_000051,u_0161,feature_used,2026-06-01T10:02:00Z,u_0161_s01,ins_u_0161_004,"{""feature"": ""insights""}",v2.2.0-healthy
evt_000052,u_0006,signup_started,2026-06-01T10:04:00Z,u_0006_s01,ins_u_0006_001,{},v2.2.0-healthy
evt_000053,u_0634,profile_saved,2026-06-01T10:04:00Z,u_0634_s01,ins_u_0634_003,{},v2.2.0-healthy
evt_000054,u_0776,signup_started,2026-06-01T10:04:00Z,u_0776_s01,ins_u_0776_001,{},v2.2.0-healthy
evt_000055,u_0776,signup_completed,2026-06-01T10:05:00Z,u_0776_s01,ins_u_0776_002,{},v2.2.0-healthy
evt_000056,u_0006,signup_completed,2026-06-01T10:07:00Z,u_0006_s01,ins_u_0006_002,{},v2.2.0-healthy
evt_000057,u_0383,feature_used,2026-06-01T10:07:00Z,u_0383_s01,ins_u_0383_004,"{""feature"": ""insights""}",v2.2.0-healthy
evt_000058,u_0706,signup_started,2026-06-01T10:07:00Z,u_0706_s01,ins_u_0706_001,{},v2.2.0-healthy
