event_id,user_id,event_name,ts,session_id,insert_id,properties,release
evt_000001,u_0465,signup_started,2026-06-08T08:06:00Z,u_0465_s01,ins_u_0465_001,{},v2.3.0-buggy
evt_000002,u_0465,signup_completed,2026-06-08T08:08:00Z,u_0465_s01,ins_u_0465_002,{},v2.3.0-buggy
evt_000003,u_0020,signup_started,2026-06-08T08:13:00Z,u_0020_s01,ins_u_0020_001,{},v2.3.0-buggy
evt_000004,u_0020,signup_completed,2026-06-08T08:14:00Z,u_0020_s01,ins_u_0020_002,{},v2.3.0-buggy
evt_000005,u_0465,profile_saved,2026-06-08T08:14:00Z,u_0465_s01,ins_u_0465_003,{},v2.3.0-buggy
evt_000006,u_0020,profile_saved,2026-06-08T08:17:00Z,u_0020_s01,ins_u_0020_003,{},v2.3.0-buggy
evt_000007,u_0465,onboarding_step_viewed,2026-06-08T08:20:00Z,u_0465_s01,ins_u_0465_004,{},v2.3.0-buggy
evt_000008,u_0020,onboarding_step_viewed,2026-06-08T08:21:00Z,u_0020_s01,ins_u_0020_004,{},v2.3.0-buggy
evt_000009,u_0020,feature_used,2026-06-08T08:26:00Z,u_0020_s01,ins_u_0020_005,"{""feature"": ""board""}",v2.3.0-buggy
evt_000010,u_0465,feature_used,2026-06-08T08:34:00Z,u_0465_s01,ins_u_0465_005,"{""feature"": ""insights""}",v2.3.0-buggy
evt_000011,u_0465,onboarding_completed,2026-06-08T08:48:00Z,u_0465_s01,ins_u_0465_006,"{""completed_at"": ""2026-06-08T08:44:00Z""}",v2.3.0-buggy
evt_000012,u_0335,signup_started,2026-06-08T08:50:00Z,u_0335_s01,ins_u_0335_001,{},v2.3.0-buggy
evt_000013,u_0377,signup_started,2026-06-08T08:56:00Z,u_0377_s01,ins_u_0377_001,{},v2.3.0-buggy
evt_000014,u_0335,signup_completed,2026-06-08T08:58:00Z,u_0335_s01,ins_u_0335_002,{},v2.3.0-buggy
evt_000015,u_0377,signup_completed,2026-06-08T08:58:00Z,u_0377_s01,ins_u_0377_002,{},v2.3.0-buggy
evt_000016,u_0377,upsell_modal_shown,2026-06-08T08:59:00Z,u_0377_s01,ins_u_0377_003,{},v2.3.0-buggy
evt_000017,u_0335,profile_saved,2026-06-08T09:05:00Z,u_0335_s01,ins_u_0335_003,{},v2.3.0-buggy
evt_000018,u_0377,profile_saved,2026-06-08T09:06:00Z,u_0377_s01,ins_u_0377_004,{},v2.3.0-buggy
evt_000019,u_0377,onboarding_step_viewed,2026-06-08T09:08:00Z,u_0377_s01,ins_u_0377_005,{},v2.3.0-buggy
evt_000020,u_0706,signup_started,2026-06-08T09:15:00Z,u_0706_s01,ins_u_0706_001,{},v2.3.0-buggy
evt_000021,u_0706,session_abandoned,2026-06-08T09:16:00Z,u_0706_s01,ins_u_0706_002,{},v2.3.0-buggy
evt_000022,u_0465,activation_completed,2026-06-08T09:17:00Z,u_0465_s01,ins_u_0465_007,{},v2.3.0-buggy
evt_000023,u_0031,signup_started,2026-06-08T09:18:00Z,u_0031_s01,ins_u_0031_001,{},v2.3.0-buggy
evt_000024,u_0335,feature_used,2026-06-08T09:18:00Z,u_0335_s01,ins_u_0335_004,"{""feature"": ""insights""}",v2.3.0-buggy
evt_000025,u_0031,signup_completed,2026-06-08T09:21:00Z,u_0031_s01,ins_u_0031_002,{},v2.3.0-buggy
evt_000026,u_0262,signup_started,2026-06-08T09:21:00Z,u_0262_s01,ins_u_0262_001,{},v2.3.0-buggy
evt_000027,u_0262,signup_completed,2026-06-08T09:26:00Z,u_0262_s01,ins_u_0262_002,{},v2.3.0-buggy
evt_000028,u_0262,signup_completed,2026-06-08T09:27:00Z,u_0262_s01,ins_u_0262_002,{},v2.3.0-buggy
evt_000029,u_0340,signup_started,2026-06-08T09:28:00Z,u_0340_s01,ins_u_0340_001,{},v2.3.0-buggy
evt_000030,u_0340,signup_completed,2026-06-08T09:29:00Z,u_0340_s01,ins_u_0340_002,{},v2.3.0-buggy
evt_000031,u_0031,profile_saved,2026-06-08T09:30:00Z,u_0031_s01,ins_u_0031_003,{},v2.3.0-buggy
evt_000032,u_0340,upsell_modal_shown,2026-06-08T09:30:00Z,u_0340_s01,ins_u_0340_003,{},v2.3.0-buggy
evt_000033,u_0631,signup_started,2026-06-08T09:31:00Z,u_0631_s01,ins_u_0631_001,{},v2.3.0-buggy
evt_000034,u_0262,session_abandoned,2026-06-08T09:33:00Z,u_0262_s01,ins_u_0262_003,{},v2.3.0-buggy
evt_000035,u_0031,onboarding_step_viewed,2026-06-08T09:35:00Z,u_0031_s01,ins_u_0031_004,{},v2.3.0-buggy
evt_000036,u_0631,session_abandoned,2026-06-08T09:35:00Z,u_0631_s01,ins_u_0631_002,{},v2.3.0-buggy
evt_000037,u_0020,activation_completed,2026-06-08T09:37:00Z,u_0020_s01,ins_u_0020_006,{},v2.3.0-buggy
evt_000038,u_0340,profile_saved,2026-06-08T09:37:00Z,u_0340_s01,ins_u_0340_004,{},v2.3.0-buggy
evt_000039,u_0340,onboarding_step_viewed,2026-06-08T09:39:00Z,u_0340_s01,ins_u_0340_005,{},v2.3.0-buggy
evt_000040,u_0335,onboarding_completed,2026-06-08T09:41:00Z,u_0335_s01,ins_u_0335_005,"{""completed_at"": ""2026-06-08T09:42:00Z""}",v2.3.0-buggy
evt_000041,u_0438,signup_started,2026-06-08T09:41:00Z,u_0438_s01,ins_u_0438_001,{},v2.3.0-buggy
evt_000042,u_0604,signup_started,2026-06-08T09:44:00Z,u_0604_s01,ins_u_0604_001,{},v2.3.0-buggy
evt_000043,u_0604,signup_completed,2026-06-08T09:45:00Z,u_0604_s01,ins_u_0604_002,{},v2.3.0-buggy
