event_id,user_id,event_name,ts,session_id,insert_id,properties,release
evt_000001,u_0724,signup_started,2026-06-15T08:09:00Z,u_0724_s01,ins_u_0724_001,{},v2.3.0-fixed
evt_000002,u_0724,signup_completed,2026-06-15T08:11:00Z,u_0724_s01,ins_u_0724_002,{},v2.3.0-fixed
evt_000003,u_0724,profile_saved,2026-06-15T08:21:00Z,u_0724_s01,ins_u_0724_003,{},v2.3.0-fixed
evt_000004,u_0014,signup_started,2026-06-15T08:23:00Z,u_0014_s01,ins_u_0014_001,{},v2.3.0-fixed
evt_000005,u_0014,session_abandoned,2026-06-15T08:24:00Z,u_0014_s01,ins_u_0014_002,{},v2.3.0-fixed
evt_000006,u_0532,signup_started,2026-06-15T08:25:00Z,u_0532_s01,ins_u_0532_001,{},v2.3.0-fixed
evt_000007,u_0724,onboarding_step_viewed,2026-06-15T08:25:00Z,u_0724_s01,ins_u_0724_004,{},v2.3.0-fixed
evt_000008,u_0724,feature_used,2026-06-15T08:29:00Z,u_0724_s01,ins_u_0724_005,"{""feature"": ""board""}",v2.3.0-fixed
evt_000009,u_0532,signup_completed,2026-06-15T08:30:00Z,u_0532_s01,ins_u_0532_002,{},v2.3.0-fixed
evt_000010,u_0733,signup_started,2026-06-15T08:30:00Z,u_0733_s01,ins_u_0733_001,{},v2.3.0-fixed
evt_000011,u_0072,signup_started,2026-06-15T08:33:00Z,u_0072_s01,ins_u_0072_001,{},v2.3.0-fixed
evt_000012,u_0072,signup_completed,2026-06-15T08:36:00Z,u_0072_s01,ins_u_0072_002,{},v2.3.0-fixed
evt_000013,u_0733,signup_completed,2026-06-15T08:38:00Z,u_0733_s01,ins_u_0733_002,{},v2.3.0-fixed
evt_000014,u_0532,profile_saved,2026-06-15T08:40:00Z,u_0532_s01,ins_u_0532_003,{},v2.3.0-fixed
evt_000015,u_0633,signup_started,2026-06-15T08:43:00Z,u_0633_s01,ins_u_0633_001,{},v2.3.0-fixed
evt_000016,u_0633,signup_completed,2026-06-15T08:44:00Z,u_0633_s01,ins_u_0633_002,{},v2.3.0-fixed
evt_000017,u_0072,profile_saved,2026-06-15T08:46:00Z,u_0072_s01,ins_u_0072_003,{},v2.3.0-fixed
evt_000018,u_0532,onboarding_step_viewed,2026-06-15T08:46:00Z,u_0532_s01,ins_u_0532_004,{},v2.3.0-fixed
evt_000019,u_0733,session_abandoned,2026-06-15T08:46:00Z,u_0733_s01,ins_u_0733_003,{},v2.3.0-fixed
evt_000020,u_0267,signup_started,2026-06-15T08:48:00Z,u_0267_s01,ins_u_0267_001,{},v2.3.0-fixed
evt_000021,u_0072,onboarding_step_viewed,2026-06-15T08:49:00Z,u_0072_s01,ins_u_0072_004,{},v2.3.0-fixed
evt_000022,u_0633,profile_saved,2026-06-15T08:49:00Z,u_0633_s01,ins_u_0633_003,{},v2.3.0-fixed
evt_000023,u_0532,feature_used,2026-06-15T08:50:00Z,u_0532_s01,ins_u_0532_005,"{""feature"": ""board""}",v2.3.0-fixed
evt_000024,u_0633,onboarding_step_viewed,2026-06-15T08:53:00Z,u_0633_s01,ins_u_0633_004,{},v2.3.0-fixed
evt_000025,u_0267,signup_completed,2026-06-15T08:56:00Z,u_0267_s01,ins_u_0267_002,{},v2.3.0-fixed
evt_000026,u_0724,onboarding_completed,2026-06-15T08:59:00Z,u_0724_s01,ins_u_0724_006,"{""completed_at"": ""2026-06-15T09:01:00Z""}",v2.3.0-fixed
evt_000027,u_0267,session_abandoned,2026-06-15T09:04:00Z,u_0267_s01,ins_u_0267_003,{},v2.3.0-fixed
evt_000028,u_0633,feature_used,2026-06-15T09:05:00Z,u_0633_s01,ins_u_0633_005,"{""feature"": ""insights""}",v2.3.0-fixed
evt_000029,u_0072,onboarding_completed,2026-06-15T09:15:00Z,u_0072_s01,ins_u_0072_005,"{""completed_at"": ""2026-06-15T09:25:00Z""}",v2.3.0-fixed
evt_000030,u_0532,onboarding_completed,2026-06-15T09:15:00Z,u_0532_s01,ins_u_0532_006,"{""completed_at"": ""2026-06-15T09:10:00Z""}",v2.3.0-fixed
evt_000031,u_0290,signup_started,2026-06-15T09:18:00Z,u_0290_s01,ins_u_0290_001,{},v2.3.0-fixed
evt_000032,u_0190,signup_started,2026-06-15T09:20:00Z,u_0190_s01,ins_u_0190_001,{},v2.3.0-fixed
evt_000033,u_0190,signup_completed,2026-06-15T09:24:00Z,u_0190_s01,ins_u_0190_002,{},v2.3.0-fixed
evt_000034,u_0290,session_abandoned,2026-06-15T09:26:00Z,u_0290_s01,ins_u_0290_002,{},v2.3.0-fixed
evt_000035,u_0633,onboarding_completed,2026-06-15T09:30:00Z,u_0633_s01,ins_u_0633_006,"{""completed_at"": ""2026-06-15T09:21:00Z""}",v2.3.0-fixed
evt_000036,u_0190,profile_saved,2026-06-15T09:32:00Z,u_0190_s01,ins_u_0190_003,{},v2.3.0-fixed
evt_000037,u_0724,activation_completed,2026-06-15T09:34:00Z,u_0724_s01,ins_u_0724_007,{},v2.3.0-fixed
evt_000038,u_0190,onboarding_step_viewed,2026-06-15T09:35:00Z,u_0190_s01,ins_u_0190_004,{},v2.3.0-fixed
evt_000039,u_0626,signup_started,2026-06-15T09:35:00Z,u_0626_s01,ins_u_0626_001,{},v2.3.0-fixed
evt_000040,u_0238,signup_started,2026-06-15T09:43:00Z,u_0238_s01,ins_u_0238_001,{},v2.3.0-fixed
evt_000041,u_0626,signup_completed,2026-06-15T09:43:00Z,u_0626_s01,ins_u_0626_002,{},v2.3.0-fixed
evt_000042,u_0238,signup_completed,2026-06-15T09:46:00Z,u_0238_s01,ins_u_0238_002,{},v2.3.0-fixed
evt_000043,u_0626,profile_saved,2026-06-15T09:46:00Z,u_0626_s01,ins_u_0626_003,{},v2.3.0-fixed
evt_000044,u_0087,signup_started,2026-06-15T09:47:00Z,u_0087_s01,ins_u_0087_001,{},v2.3.0-fixed
evt_000045,u_0087,signup_completed,2026-06-15T09:52:00Z,u_0087_s01,ins_u_0087_002,{},v2.3.0-fixed
evt_000046,u_0238,profile_saved,2026-06-15T09:52:00Z,u_0238_s01,ins_u_0238_003,{},v2.3.0-fixed
evt_000047,u_0626,onboarding_step_viewed,2026-06-15T09:52:00Z,u_0626_s01,ins_u_0626_004,{},v2.3.0-fixed
evt_000048,u_0179,signup_started,2026-06-15T09:53:00Z,u_0179_s01,ins_u_0179_001,{},v2.3.0-fixed
evt_000049,u_0087,profile_saved,2026-06-15T09:54:00Z,u_0087_s01,ins_u_0087_003,{},v2.3.0-fixed
evt_000050,u_0633,activation_completed,2026-06-15T09:54:00Z,u_0633_s01,ins_u_0633_007,{},v2.3.0-fixed
evt_000051,u_0179,signup_completed,2026-06-15T09:56:00Z,u_0179_s01,ins_u_0179_002,{},v2.3.0-fixed
evt_000052,u_0532,activation_completed,2026-06-15T09:57:00Z,u_0532_s01,ins_u_0532_007,{},v2.3.0-fixed
evt_000053,u_0179,profile_saved,2026-06-15T09:58:00Z,u_0179_s01,ins_u_0179_003,{},v2.3.0-fixed
evt_000054,u_0253,signup_started,2026-06-15T09:59:00Z,u_0253_s01,ins_u_0253_001,{},v2.3.0-fixed
evt_000055,u_0626,feature_used,2026-06-15T09:59:00Z,u_0626_s01,ins_u_0626_005,"{""feature"": ""board""}",v2.3.0-fixed
evt_000056,u_0087,onboarding_step_viewed,2026-06-15T10:00:00Z,u_0087_s01,ins_u_0087_004,{},v2.3.0-fixed
evt_000057,u_0179,onboarding_step_viewed,2026-06-15T10:00:00Z,u_0179_s01,ins_u_0179_004,{},v2.3.0-fixed
evt_000058,u_0665,signup_started,2026-06-15T10:03:00Z,u_0665_s01,ins_u_0665_001,{},v2.3.0-fixed
evt_000059,u_0253,signup_completed,2026-06-15T10:04:00Z,u_0253_s01,ins_u_0253_002,{},v2.3.0-fixed
evt_000060,u_0311,signup_started,2026-06-15T10:06:00Z,u_0311_s01,ins_u_0311_001,{},v2.3.0-fixed
evt_000061,u_0311,signup_completed,2026-06-15T10:11:00Z,u_0311_s01,ins_u_0311_002,{},v2.3.0-fixed
evt_000062,u_0665,signup_completed,2026-06-15T10:11:00Z,u_0665_s01,ins_u_0665_002,{},v2.3.0-fixed
evt_000063,u_0253,profile_saved,2026-06-15T10:13:00Z,u_0253_s01,ins_u_0253_003,{},v2.3.0-fixed
evt_000064,u_0238,feature_used,2026-06-15T10:14:00Z,u_0238_s01,ins_u_0238_004,"{""feature"": ""board""}",v2.3.0-fixed
evt_000065,u_0311,session_abandoned,2026-06-15T10:15:00Z,u_0311_s01,ins_u_0311_003,{},v2.3.0-fixed
evt_000066,u_0665,profile_saved,2026-06-15T10:17:00Z,u_0665_s01,ins_u_0665_003,{},v2.3.0-fixed
evt_000067,u_0253,onboarding_step_viewed,2026-06-15T10:18:00Z,u_0253_s01,ins_u_0253_004,{},v2.3.0-fixed
evt_000068,u_0617,signup_started,2026-06-15T10:20:00Z,u_0617_s01,ins_u_0617_001,{},v2.3.0-fixed
evt_000069,u_0665,onboarding_step_viewed,2026-06-15T10:22:00Z,u_0665_s01,ins_u_0665_004,{},v2.3.0-fixed
evt_000070,u_0190,activation_completed,2026-06-15T10:25:00Z,u_0190_s01,ins_u_0190_005,{},v2.3.0-fixed
evt_000071,u_0617,session_abandoned,2026-06-15T10:25:00Z,u_0617_s01,ins_u_0617_002,{},v2.3.0-fixed
evt_000072,u_0019,signup_started,2026-06-15T10:27:00Z,u_0019_s01,ins_u_0019_001,{},v2.3.0-fixed
evt_000073,u_0365,signup_started,2026-06-15T10:28:00Z,u_0365_s01,ins_u_0365_001,{},v2.3.0-fixed
evt_000074,u_0019,signup_completed,2026-06-15T10:29:00Z,u_0019_s01,ins_u_0019_002,{},v2.3.0-fixed
evt_000075,u_0238,onboarding_completed,2026-06-15T10:32:00Z,u_0238_s01,ins_u_0238_005,"{""completed_at"": ""2026-06-15T10:29:00Z""}",v2.3.0-fixed
evt_000076,u_0019,session_abandoned,2026-06-15T10:33:00Z,u_0019_s01,ins_u_0019_003,{},v2.3.0-fixed
evt_000077,u_0179,onboarding_completed,2026-06-15T10:33:00Z,u_0179_s01,ins_u_0179_005,"{""completed_at"": ""2026-06-15T10:37:00Z""}",v2.3.0-fixed
evt_000078,u_0087,onboarding_completed,2026-06-15T10:34:00Z,u_0087_s01,ins_u_0087_005,"{""completed_at"": ""2026-06-15T10:20:00Z""}",v2.3.0-fixed
evt_000079,u_0690,signup_started,2026-06-15T10:35:00Z,u_0690_s01,ins_u_0690_001,{},v2.3.0-fixed
evt_000080,u_0365,signup_completed,2026-06-15T10:36:00Z,u_0365_s01,ins_u_0365_002,{},v2.3.0-fixed
evt_000081,u_0253,onboarding_completed,2026-06-15T10:39:00Z,u_0253_s01,ins_u_0253_005,"{""completed_at"": ""2026-06-15T10:43:00Z""}",v2.3.0-fixed
evt_000082,u_0024,signup_started,2026-06-15T10:40:00Z,u_0024_s01,ins_u_0024_001,{},v2.3.0-fixed
evt_000083,u_0365,profile_saved,2026-06-15T10:40:00Z,u_0365_s01,ins_u_0365_003,{},v2.3.0-fixed
evt_000084,u_0690,signup_completed,2026-06-15T10:41:00Z,u_0690_s01,ins_u_0690_002,{},v2.3.0-fixed
evt_000085,u_0634,signup_started,2026-06-15T10:42:00Z,u_0634_s01,ins_u_0634_001,{},v2.3.0-fixed
evt_000086,u_0626,activation_completed,2026-06-15T10:43:00Z,u_0626_s01,ins_u_0626_006,{},v2.3.0-fixed
evt_000087,u_0185,signup_started,2026-06-15T10:44:00Z,u_0185_s01,ins_u_0185_001,{},v2.3.0-fixed
evt_000088,u_0185,session_abandoned,2026-06-15T10:45:00Z,u_0185_s01,ins_u_0185_002,{},v2.3.0-fixed
evt_000089,u_0238,activation_completed,2026-06-15T10:45:00Z,u_0238_s01,ins_u_0238_006,{},v2.3.0-fixed
evt_000090,u_0365,onboarding_step_viewed,2026-06-15T10:45:00Z,u_0365_s01,ins_u_0365_004,{},v2.3.0-fixed
evt_000091,u_0679,signup_started,2026-06-15T10:45:00Z,u_0679_s01,ins_u_0679_001,{},v2.3.0-fixed
evt_000092,u_0024,signup_completed,2026-06-15T10:46:00Z,u_0024_s01,ins_u_0024_002,{},v2.3.0-fixed
evt_000093,u_0087,activation_completed,2026-06-15T10:46:00Z,u_0087_s01,ins_u_0087_006,{},v2.3.0-fixed
evt_000094,u_0681,signup_started,2026-06-15T10:46:00Z,u_0681_s01,ins_u_0681_001,{},v2.3.0-fixed
evt_000095,u_0690,profile_saved,2026-06-15T10:46:00Z,u_0690_s01,ins_u_0690_003,{},v2.3.0-fixed
evt_000096,u_0690,error_shown,2026-06-15T10:47:00Z,u_0690_s01,ins_u_0690_004,"{""code"": ""onboarding_timeout""}",v2.3.0-fixed
evt_000097,u_0221,signup_started,2026-06-15T10:48:00Z,u_0221_s01,ins_u_0221_001,{},v2.3.0-fixed
evt_000098,u_0665,onboarding_completed,2026-06-15T10:48:00Z,u_0665_s01,ins_u_0665_005,"{""completed_at"": ""2026-06-15T10:43:00Z""}",v2.3.0-fixed
evt_000099,u_0221,signup_completed,2026-06-15T10:50:00Z,u_0221_s01,ins_u_0221_002,{},v2.3.0-fixed
evt_000100,u_0634,signup_completed,2026-06-15T10:50:00Z,u_0634_s01,ins_u_0634_002,{},v2.3.0-fixed
evt_000101,u_0679,signup_completed,2026-06-15T10:50:00Z,u_0679_s01,ins_u_0679_002,{},v2.3.0-fixed
